n_cal,x_test,p_true,ambiguity,mean_mid,sd_mid_across_resamples,mean_width,abs_error
50,-1.045075125208681,0.10151024424131791,0.18241182911077178,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.39015642242534865
50,-1.038397328881469,0.101571862141471,0.18251003792517004,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3900948045251955
50,-1.031719532554257,0.10163598889846814,0.1826122293181972,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3900306777681984
50,-1.025041736227045,0.10170272623504344,0.18271856342280648,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3899639404316231
50,-1.018363939899833,0.10177217996263511,0.18282920669657626,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.38989448670403143
50,-1.011686143572621,0.10184446014275632,0.18294433216197367,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3898222065239102
50,-1.005008347245409,0.1019196812544862,0.18306411965494024,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.38974698541218034
50,-0.998330550918197,0.10199796236829253,0.18318875608201785,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.38966870429837397
50,-0.991652754590985,0.10207942732640246,0.18331843568623235,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.38958723934026407
50,-0.984974958263773,0.10216420492994324,0.18345336032195161,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3895024617367233
50,-0.9782971619365608,0.10225242913308064,0.18359373973892992,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3894142375335859
50,-0.9716193656093488,0.1023442392443873,0.18373979187574985,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.38932242742227924
50,-0.9649415692821368,0.1024397801356795,0.18389174316286627,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.389226886530987
50,-0.9582637729549248,0.10253920245856472,0.1840498288354524,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3891274642081018
50,-0.9515859766277128,0.10264266286894831,0.18421429325623948,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.38902400379771823
50,-0.9449081803005008,0.10275032425975161,0.18438539024853504,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3889163424069149
50,-0.9382303839732888,0.10286235600209874,0.1845633834395925,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3888043106645678
50,-0.9315525876460768,0.10297893419523321,0.18474854661449408,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3886877324714333
50,-0.9248747913188649,0.1031002419254297,0.18494116408069514,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3885664247412368
50,-0.9181969949916526,0.10322646953416935,0.18514153104336112,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.38844019713249717
50,-0.9115191986644406,0.1033578148958506,0.18534995399161136,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3883088517708159
50,-0.9048414023372287,0.10349448370530982,0.18556675109576237,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3881721829613567
50,-0.8981636060100167,0.10363668977542805,0.18579225261563947,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.38802997689123847
50,-0.8914858096828047,0.10378465534510155,0.18602680132000007,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.38788201132156497
50,-0.8848080133555927,0.10393861139785482,0.18627075291708106,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3877280552688117
